text,label
Allah aşkına bi fırça neden 250 tl neden yani işin sinir bozucu yanı o fırçaya eşdeğer fırça bulamamak ,anger
Muavin bir şey içip içmediğimi sormak için beni uykumdan uyandırdı hala şaşkınım ,surprise
Herkese güzel günler öpüyorum sizler tivitır alemi ,joy
Ya şu sevgililerin birbirine şifre verme olayına sinir oluyorum madem güvenmiyorsun ne diye sevgili sıfatın da ,anger
Almanya'da 'yok artık' dedirten olay! Nereye park ettiğini unuttuğu arabasını 20 yıl sonra buldu ,surprise
O kadar öfkeliyim ki artık kelimelerim yetmiyor bunu atmaya içimden ,anger
Kızlar salak mısınız gidin okuyun mal gibi evleniyorsunuz ,anger
Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayı yiyeceğim ,anger
Hangi kanalı açsam laf oluyor hep bir siyaset ben de şaştım kaldım müşteriler ,surprise
Bu gece Ayşenur ile son gecem. Üzgünüm ,sadness
Yıprandım ya daha ne kadar sömürebilirsiniz acaba ,sadness
"Nasıl bir enerji varsa havada, kendimi harika hissediyorum, bir de bütün dileklerim gerçek olursa, tutmayın benii :) :) ",joy
Pişmanım daha önce kitap okumadığım için ,sadness
Peaky blinders’e başlıorum çok heyecanlıyım hadi hayırlı olsun ,joy
Uçaktan inince herkesin önüne geçmek gibi bir hata yaptım arkamda 100 kişi var yanlış yöne gideceğim diye ödüm koptu ,fear
"Keşke bütün sorunlarımı uyuyarak çözebilseydim, ben uyumayıp çözmeye çalışıp üstüne bir de çözemiyorum yaşayamıyorum ben hayatı ",sadness
Kimya dersinden nefret ediyorum çünkü mol çözemiyorum ,anger
"Yalnızlığın korkunçtu bahanesi. Her nefes alışında cigerine batıyor, battıkça alıştırıyor ve aynı yerden tekrar tekrar kanatıyordu. ",fear
Küfür bir ihtiyaç kardeşim etmesek sinir küpü oluruz birbirimizi doğrarız ,anger
Artık herhangi bir hayaIe kucak açamayacak kadar yorgunum! ,sadness
Doğum günümü kutladığınız için teşekkür ederim bu arada ,joy
Yok artık inanmam efsane bir transfer olur ,surprise
"Abla ayağına kürklü bot giymişti, yeminle ayağına kedi dolanmış sandım ödüm koptu ",fear
Aaa ciddi misin bu bugüne ait görüntü mü ? ,surprise
hayatımın yarısı yediğim kazıkları çıkarmakla geçti ve yıprandım ,sadness
"Yolcu yanına çağırdı ""uçak gitmiyor aynı yerdeyiz yaıim saattir"" dedi birisine uçağın havada duramayacağını anlatacağım aklıma gelmezdi şoktayım ?? ",surprise
Öğle yemeğinde bana eşlik eden Sezen Aksu'ya teşekkür ederim ,joy
